Class,Accuracy
Hair Loss Photos Alopecia and other Hair Diseases,86.67
Nail Fungus and other Nail Disease,77.39
Acne and Rosacea Photos,76.92
Vasculitis Photos,57.14
Melanoma Skin Cancer Nevi and Moles,55.17
Herpes HPV and other STDs Photos,53.92
Urticaria Hives,52.83
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,52.78
Tinea Ringworm Candidiasis and other Fungal Infections,51.38
Atopic Dermatitis Photos,49.59
Seborrheic Keratoses and other Benign Tumors,48.69
Warts Molluscum and other Viral Infections,46.32
Bullous Disease Photos,46.02
Exanthems and Drug Eruptions,45.54
Eczema Photos,44.98
Vascular Tumors,43.8
Systemic Disease,41.45
Lupus and other Connective Tissue diseases,40.0
Scabies Lyme Disease and other Infestations and Bites,37.96
Poison Ivy Photos and other Contact Dermatitis,36.92
Light Diseases and Disorders of Pigmentation,35.66
Cellulitis Impetigo and other Bacterial Infections,35.62
Psoriasis pictures Lichen Planus and related diseases,29.26
